Timestamp,Voltage(V),Current(A),Frequency(Hz),Power(kW),Power Factor,Temperature(C),Fault Type
2026-06-15 20:42:55,185.02,14.91,49.16,2.58,0.94,44.0,LG Fault
2026-05-11 23:21:24,122.35,20.56,48.25,1.84,0.73,50.43,LLG Fault
2026-02-28 20:07:35,148.29,35.18,48.48,3.56,0.68,59.83,LLL Fault
2026-07-01 04:12:19,185.86,17.21,49.32,2.96,0.93,43.09,LG Fault
2026-07-05 22:59:15,154.39,17.89,49.33,2.06,0.75,41.7,LL Fault
2026-03-03 13:57:10,178.37,23.95,49.19,3.28,0.77,54.72,LL Fault
2026-06-28 21:42:49,118.1,29.71,48.1,2.68,0.76,51.44,LLG Fault
2026-01-07 22:46:47,177.99,17.05,48.7,2.55,0.84,43.27,LL Fault
2026-06-15 20:05:20,231.42,7.54,50.06,1.7,0.97,27.14,Normal
2026-03-26 00:50:16,207.07,16.64,49.21,3.06,0.89,43.11,LG Fault
2026-01-03 08:51:35,229.98,6.46,50.04,1.47,0.99,25.9,Normal
2026-02-02 13:47:29,197.66,17.93,49.39,2.84,0.8,38.13,LG Fault
2026-07-08 13:22:35,184.78,22.43,48.8,3.4,0.82,50.81,LL Fault
2026-05-21 05:23:27,139.62,35.33,47.87,3.2,0.65,74.52,LLL Fault
2026-05-02 16:01:26,111.52,36.06,48.06,2.56,0.64,74.86,LLL Fault
2026-05-27 08:41:58,157.13,17.5,49.12,2.15,0.78,47.32,LL Fault
2026-01-05 08:57:56,143.03,33.41,47.97,2.78,0.58,56.5,LLL Fault
2026-01-05 17:08:16,137.72,33.77,47.17,2.56,0.55,72.96,LLL Fault
2026-04-13 05:50:01,120.77,39.19,47.74,2.85,0.6,70.08,LLL Fault
2026-05-30 08:51:35,120.04,26.27,48.26,1.91,0.61,63.36,LLG Fault
2026-04-09 13:31:28,83.08,32.14,48.04,1.58,0.59,70.43,LLL Fault
2026-02-21 08:39:54,204.37,10.64,49.59,1.9,0.87,43.35,LG Fault
2026-01-18 21:22:16,213.1,12.84,49.32,2.56,0.94,35.26,LG Fault
2026-03-05 03:03:04,228.16,6.2,50.06,1.38,0.97,30.8,Normal
2026-04-13 07:44:45,230.04,5.17,49.96,1.18,0.99,31.31,Normal
2026-01-24 23:43:27,215.29,19.72,49.63,3.72,0.88,36.86,LG Fault
2026-03-02 02:18:46,228.37,6.8,50.04,1.53,0.98,28.59,Normal
2026-02-11 00:08:38,121.58,27.58,48.97,2.37,0.71,64.71,LLG Fault
2026-05-15 05:09:07,185.9,11.6,49.54,1.78,0.83,35.99,LG Fault
2026-05-11 04:59:36,192.37,10.65,49.38,1.8,0.88,35.54,LG Fault
2026-04-22 16:17:15,197.04,18.49,49.64,3.42,0.94,43.41,LG Fault
2026-05-24 11:55:27,192.79,20.5,49.16,3.15,0.8,42.96,LL Fault
2026-07-06 04:18:22,185.93,18.01,48.53,2.94,0.88,51.58,LL Fault
2026-06-10 13:05:08,230.03,6.66,49.94,1.49,0.97,27.81,Normal
2026-07-10 07:44:56,190.53,19.83,49.23,2.7,0.71,49.93,LL Fault
2026-07-09 05:35:21,174.11,24.12,48.87,3.74,0.89,50.35,LL Fault
2026-03-28 01:01:37,100.39,21.46,47.85,1.32,0.61,60.84,LLG Fault
2026-05-29 02:32:28,166.16,29.46,48.69,3.62,0.74,58.27,LLG Fault
2026-06-26 09:22:17,119.87,34.11,47.78,3.15,0.77,60.12,LLG Fault
2026-06-18 15:36:52,231.92,6.66,50.07,1.5,0.97,26.21,Normal
2026-05-31 11:48:44,107.08,30.98,48.96,2.49,0.75,53.19,LLG Fault
2026-04-13 13:47:59,132.1,32.48,47.44,2.82,0.66,58.26,LLL Fault
2026-02-23 12:32:58,230.27,7.33,50.09,1.68,0.99,27.81,Normal
2026-01-13 13:25:52,112.79,31.52,47.69,2.19,0.62,56.14,LLG Fault
2026-01-31 05:34:49,207.22,13.27,49.67,2.43,0.88,40.29,LG Fault
2026-05-11 09:54:58,228.42,7.59,49.96,1.72,0.99,25.77,Normal
2026-05-04 07:26:17,150.85,22.8,49.15,2.49,0.72,52.59,LL Fault
2026-06-02 09:17:00,156.82,22.37,49.31,2.59,0.74,50.02,LL Fault
2026-03-11 12:15:01,229.65,5.94,49.94,1.33,0.98,25.44,Normal
2026-05-04 23:49:45,181.92,17.51,49.66,2.66,0.83,37.54,LG Fault
2026-02-04 18:31:09,119.75,21.04,48.22,1.57,0.62,45.01,LLG Fault
2026-05-21 16:48:53,198.16,15.31,48.78,2.24,0.74,48.12,LL Fault
2026-04-21 14:58:53,198.08,17.04,49.2,2.87,0.85,42.53,LG Fault
2026-02-26 15:23:08,185.45,13.06,49.33,2.14,0.88,43.67,LG Fault
2026-04-13 11:29:59,231.69,5.62,49.99,1.27,0.98,32.84,Normal
2026-06-19 03:40:16,157.05,15.33,48.85,2.04,0.85,49.4,LL Fault
2026-02-23 03:29:29,216.56,19.14,49.34,3.51,0.85,42.38,LG Fault
2026-06-19 21:18:57,110.78,27.43,48.42,2.04,0.67,49.35,LLG Fault
2026-05-25 23:13:17,231.54,5.87,50.07,1.34,0.98,34.16,Normal
2026-01-15 12:51:18,209.8,19.63,49.1,3.41,0.83,36.28,LG Fault
2026-05-29 18:48:23,231.25,7.44,49.99,1.67,0.97,29.44,Normal
2026-01-11 17:41:54,230.54,7.03,49.97,1.58,0.98,31.47,Normal
2026-04-20 17:25:52,199.17,12.86,49.37,2.25,0.88,37.32,LG Fault
2026-04-24 05:46:32,189.16,14.16,49.67,2.28,0.85,43.84,LG Fault
2026-03-28 14:31:49,228.11,6.59,50.05,1.48,0.98,31.92,Normal
2026-01-04 12:20:40,148.33,41.4,47.92,3.85,0.63,69.16,LLL Fault
2026-03-21 14:30:06,188.99,20.17,48.91,2.99,0.78,52.43,LL Fault
2026-03-18 00:24:52,108.77,39.44,48.0,2.91,0.68,57.3,LLL Fault
2026-05-31 00:29:30,230.61,5.52,49.99,1.24,0.98,34.28,Normal
2026-05-29 06:53:47,230.34,6.78,50.06,1.55,0.99,25.02,Normal
2026-05-29 23:57:31,114.59,26.19,47.96,2.35,0.78,53.56,LLG Fault
2026-06-30 13:03:56,160.52,19.46,49.47,2.68,0.86,41.23,LL Fault
2026-01-22 18:35:27,177.07,28.87,48.12,3.71,0.73,48.21,LLG Fault
2026-07-02 04:45:23,112.66,36.71,47.91,2.7,0.65,65.02,LLL Fault
2026-04-06 17:29:39,179.12,18.65,48.87,2.61,0.78,44.0,LL Fault
2026-06-18 02:53:36,185.49,16.1,49.26,2.32,0.78,49.59,LL Fault
2026-04-05 07:18:42,168.36,23.08,49.41,3.35,0.86,52.49,LL Fault
2026-06-29 19:36:02,155.2,17.92,49.3,1.99,0.71,43.19,LL Fault
2026-01-03 03:21:47,125.34,39.91,47.35,2.97,0.59,59.47,LLL Fault
2026-02-23 02:44:24,157.9,18.58,48.53,2.3,0.78,50.16,LL Fault
2026-06-09 09:02:51,88.85,37.75,47.14,1.71,0.51,68.01,LLL Fault
2026-01-21 12:39:44,191.46,12.66,49.27,2.08,0.86,42.23,LG Fault
2026-04-22 03:40:07,147.58,27.7,48.13,2.45,0.6,53.95,LLG Fault
2026-07-08 14:58:50,181.29,23.85,49.1,3.09,0.72,53.74,LL Fault
2026-06-10 20:27:56,231.42,5.81,50.05,1.31,0.97,34.17,Normal
2026-05-04 01:41:59,229.36,5.45,49.96,1.23,0.98,29.55,Normal
2026-07-10 05:56:35,166.5,22.31,49.18,2.87,0.77,40.31,LL Fault
2026-02-25 00:27:21,148.82,29.35,48.37,3.11,0.71,61.89,LLG Fault
2026-03-09 00:20:05,173.75,27.07,48.69,3.2,0.68,64.55,LLG Fault
2026-04-06 08:49:42,173.51,30.8,47.69,4.0,0.75,51.23,LLG Fault
2026-03-27 00:23:31,162.61,24.85,48.49,3.0,0.74,47.57,LLG Fault
2026-06-30 20:43:00,188.63,12.11,49.61,2.02,0.88,44.29,LG Fault
2026-03-12 06:18:13,106.44,29.6,47.59,2.26,0.72,46.41,LLG Fault
2026-02-22 03:25:11,117.57,31.24,48.02,1.96,0.53,72.13,LLL Fault
2026-03-28 04:35:32,116.5,26.2,47.52,2.14,0.7,60.08,LLG Fault
2026-06-13 15:21:56,190.66,12.02,49.11,2.01,0.88,44.27,LG Fault
2026-04-20 18:24:41,157.78,23.73,48.65,2.79,0.75,51.84,LL Fault
2026-01-28 05:25:03,110.08,30.73,48.25,2.46,0.73,45.3,LLG Fault
2026-05-03 05:20:40,198.66,15.66,49.17,2.94,0.94,36.14,LG Fault
2026-05-05 17:14:02,87.46,39.5,47.87,2.13,0.62,63.27,LLL Fault
2026-07-02 18:25:41,172.59,18.96,48.83,2.3,0.7,46.83,LL Fault
2026-07-04 08:20:57,143.85,39.07,47.87,3.65,0.65,67.13,LLL Fault
2026-01-04 13:00:14,196.51,22.69,48.78,3.27,0.73,43.3,LL Fault
2026-02-21 16:12:10,230.25,7.44,49.95,1.69,0.98,31.11,Normal
2026-02-18 05:45:46,196.78,14.61,49.7,2.69,0.94,44.94,LG Fault
2026-05-18 22:08:44,181.41,24.09,48.55,3.28,0.75,48.72,LL Fault
2026-07-04 12:48:40,165.5,30.67,47.67,3.17,0.63,58.71,LLG Fault
2026-05-04 00:53:01,139.29,35.27,47.2,2.89,0.59,64.06,LLL Fault
2026-05-26 03:52:39,214.02,11.77,49.76,2.17,0.86,38.41,LG Fault
2026-06-23 04:39:11,196.82,19.16,49.25,3.15,0.84,51.45,LL Fault
2026-04-27 19:42:39,118.6,33.74,48.19,2.31,0.58,73.3,LLL Fault
2026-05-15 14:59:16,80.17,32.38,48.24,1.8,0.69,67.34,LLL Fault
2026-02-18 00:29:29,97.14,31.48,48.26,1.73,0.56,68.94,LLL Fault
2026-02-05 03:06:49,213.72,18.52,49.36,3.72,0.94,36.53,LG Fault
2026-04-11 00:50:54,231.39,6.36,49.97,1.47,1.0,27.41,Normal
2026-01-15 14:51:06,160.74,18.1,48.52,2.44,0.84,45.79,LL Fault
2026-06-15 14:30:58,188.52,16.89,48.94,2.25,0.71,50.29,LL Fault
2026-06-14 22:55:53,181.94,24.12,49.34,3.79,0.86,50.65,LL Fault
2026-02-15 18:51:37,153.61,33.77,47.89,3.76,0.73,60.63,LLG Fault
2026-03-25 20:56:25,101.9,34.48,48.2,2.63,0.75,59.56,LLG Fault
2026-01-03 09:01:18,209.94,14.43,49.19,2.64,0.87,38.1,LG Fault
2026-03-22 06:11:35,125.01,44.21,47.86,3.51,0.63,69.45,LLL Fault
2026-05-01 10:08:49,231.68,7.46,50.03,1.71,0.99,31.5,Normal
2026-06-27 22:13:17,152.2,20.19,47.87,2.31,0.75,48.27,LLG Fault
2026-01-15 23:49:30,192.04,12.47,49.46,2.0,0.83,44.36,LG Fault
2026-01-06 14:42:59,183.13,13.36,49.47,2.07,0.85,40.48,LG Fault
2026-07-10 04:55:36,110.38,30.11,48.96,2.51,0.75,45.36,LLG Fault
2026-03-30 21:49:05,228.73,6.47,50.04,1.48,1.0,26.98,Normal
2026-07-02 15:58:16,229.97,5.47,50.03,1.23,0.97,28.25,Normal
2026-01-08 05:52:28,193.05,15.26,48.8,2.64,0.9,53.25,LL Fault
2026-05-07 02:26:16,91.38,41.71,47.55,1.93,0.51,70.69,LLL Fault
2026-03-17 13:50:02,97.29,43.58,47.6,2.61,0.62,69.97,LLL Fault
2026-05-03 02:29:31,228.41,5.65,49.99,1.27,0.98,29.38,Normal
2026-04-27 23:52:13,169.15,16.39,48.99,2.45,0.88,45.65,LL Fault
2026-05-27 10:28:23,176.73,31.72,48.52,3.95,0.71,64.34,LLG Fault
2026-01-24 15:59:51,113.04,28.05,48.92,2.5,0.79,51.72,LLG Fault
2026-02-20 03:50:51,230.03,7.75,50.04,1.77,1.0,26.44,Normal
2026-04-30 00:00:11,156.08,18.18,48.9,2.34,0.82,51.37,LL Fault
2026-04-16 06:09:29,175.61,20.34,49.04,2.9,0.81,48.66,LL Fault
2026-05-05 01:46:13,133.79,23.79,48.68,2.02,0.63,62.54,LLG Fault
2026-06-05 07:39:29,230.89,6.79,50.05,1.56,1.0,26.17,Normal
2026-05-26 03:47:40,178.62,22.62,49.48,3.54,0.88,47.16,LL Fault
2026-01-11 10:03:10,230.86,5.29,49.93,1.19,0.98,31.21,Normal
2026-03-24 13:11:27,229.82,6.56,49.91,1.49,0.99,29.8,Normal
2026-06-08 07:37:05,94.58,44.86,47.07,2.24,0.53,55.18,LLL Fault
2026-05-26 03:37:57,152.48,24.28,48.37,2.32,0.63,50.87,LLG Fault
2026-02-02 18:32:12,112.59,27.71,48.38,2.41,0.77,49.42,LLG Fault
2026-04-24 01:27:22,121.62,32.95,47.71,2.88,0.72,56.19,LLG Fault
2026-06-06 00:29:00,230.44,5.23,50.02,1.18,0.98,33.17,Normal
2026-04-15 23:18:52,228.96,6.09,49.97,1.37,0.99,34.51,Normal
2026-02-23 09:39:13,206.44,13.21,49.38,2.49,0.91,44.79,LG Fault
2026-01-09 18:16:40,121.17,20.28,48.91,1.54,0.63,63.7,LLG Fault
2026-07-06 16:04:49,178.31,23.65,48.95,3.07,0.73,51.35,LL Fault
2026-01-23 18:15:42,205.73,14.35,49.08,2.4,0.81,39.4,LG Fault
2026-04-08 15:30:28,165.55,31.98,48.67,3.86,0.73,60.97,LLG Fault
2026-05-29 09:28:40,183.8,10.17,49.69,1.55,0.83,35.48,LG Fault
2026-03-19 21:11:47,228.08,7.0,49.98,1.57,0.99,26.82,Normal
2026-06-01 14:57:32,183.6,15.0,49.04,2.45,0.89,52.95,LL Fault
2026-02-16 20:13:09,128.58,38.98,47.57,3.13,0.62,58.25,LLL Fault
2026-02-17 03:38:57,166.04,25.62,48.34,2.81,0.66,57.38,LLG Fault
2026-05-26 06:17:24,101.12,35.13,48.06,1.89,0.53,70.77,LLL Fault
2026-03-19 23:00:39,228.89,6.35,49.97,1.42,0.97,30.33,Normal
2026-06-29 21:33:31,80.15,34.79,47.87,1.52,0.54,65.62,LLL Fault
2026-04-08 00:05:11,231.89,6.82,50.02,1.55,0.98,27.81,Normal
2026-03-14 20:36:41,93.97,34.14,48.13,1.62,0.5,70.16,LLL Fault
2026-03-23 01:49:35,210.51,13.77,49.74,2.58,0.89,39.94,LG Fault
2026-05-29 22:41:06,135.09,31.97,47.24,2.82,0.65,63.85,LLL Fault
2026-03-30 04:23:22,228.47,6.1,50.09,1.37,0.99,31.32,Normal
2026-05-29 10:53:07,195.48,13.44,49.37,2.12,0.81,40.34,LG Fault
2026-04-28 02:18:24,228.5,7.93,50.08,1.81,1.0,28.93,Normal
2026-05-18 05:43:13,101.88,28.62,48.79,1.95,0.67,59.63,LLG Fault
2026-04-29 18:23:59,142.92,40.78,47.55,3.9,0.67,73.17,LLL Fault
2026-06-26 02:08:53,218.41,15.2,49.18,2.71,0.82,37.71,LG Fault
2026-03-13 10:10:57,230.32,6.7,49.97,1.51,0.98,33.86,Normal
2026-02-04 20:30:41,141.15,42.2,47.3,3.12,0.52,60.27,LLL Fault
2026-07-04 23:03:34,190.03,21.36,49.46,3.54,0.87,50.44,LL Fault
2026-01-19 16:55:45,144.74,34.41,48.49,3.09,0.62,51.35,LLG Fault
2026-05-31 02:01:46,230.37,7.22,50.02,1.66,1.0,34.56,Normal
2026-06-23 13:13:04,138.14,31.46,48.05,2.92,0.67,48.58,LLG Fault
2026-02-20 04:40:10,168.9,34.16,47.66,3.86,0.67,59.17,LLG Fault
2026-04-03 13:49:37,156.45,21.9,48.5,2.45,0.71,46.58,LLG Fault
2026-05-14 16:07:01,93.6,44.36,47.4,2.71,0.65,59.96,LLL Fault
2026-01-22 02:25:44,128.32,36.11,47.5,2.68,0.58,72.63,LLL Fault
2026-02-07 11:08:32,181.98,13.95,49.71,2.32,0.91,44.62,LG Fault
2026-01-11 20:54:22,213.52,11.89,49.22,2.06,0.81,44.52,LG Fault
2026-06-20 03:47:19,105.87,27.21,48.54,1.86,0.65,48.45,LLG Fault
2026-02-01 01:56:11,179.82,27.14,48.15,3.42,0.7,55.83,LLG Fault
2026-03-23 21:07:45,132.26,30.08,47.06,2.76,0.69,61.15,LLL Fault
2026-05-15 13:59:21,228.29,5.07,49.97,1.13,0.98,25.89,Normal
2026-06-14 12:11:36,122.61,30.14,48.1,2.48,0.67,65.02,LLL Fault
2026-02-03 19:35:54,102.18,29.53,47.91,2.09,0.69,59.88,LLG Fault
2026-06-03 23:47:38,131.37,34.75,47.83,2.55,0.56,67.33,LLL Fault
2026-02-18 19:04:23,144.94,25.35,47.6,2.44,0.67,48.09,LLG Fault
2026-05-08 09:11:48,195.8,10.46,49.46,1.83,0.9,38.02,LG Fault
2026-04-06 09:02:25,177.33,21.78,48.25,2.57,0.67,62.68,LLG Fault
2026-02-12 07:25:42,166.12,17.29,49.49,2.38,0.83,51.31,LL Fault
2026-02-03 01:53:40,165.28,16.8,49.05,2.3,0.83,46.27,LL Fault
2026-01-23 18:26:23,140.52,30.89,47.13,2.68,0.62,66.98,LLL Fault
2026-06-05 20:48:22,230.86,7.54,50.05,1.72,0.99,27.12,Normal
2026-01-19 01:11:10,231.61,6.71,50.09,1.52,0.98,32.05,Normal
2026-05-25 14:59:54,229.61,5.65,49.94,1.26,0.97,31.98,Normal
2026-01-12 12:48:27,229.65,7.93,49.97,1.78,0.98,26.12,Normal
2026-01-29 12:53:29,166.6,21.27,49.22,2.52,0.71,54.53,LL Fault
2026-06-04 15:39:04,191.76,15.2,48.64,2.12,0.73,53.82,LL Fault
2026-04-22 10:34:01,191.79,14.9,49.13,2.43,0.85,36.2,LG Fault
2026-01-22 13:44:23,138.72,22.46,47.93,2.42,0.78,49.74,LLG Fault
2026-02-19 01:37:35,112.98,29.17,47.62,2.3,0.7,50.74,LLG Fault
2026-04-15 09:42:08,101.53,26.89,48.62,1.89,0.69,53.76,LLG Fault
2026-02-01 05:11:18,121.19,37.1,48.47,2.87,0.64,64.4,LLL Fault
2026-07-05 17:32:07,158.97,25.17,48.73,2.6,0.65,49.49,LLG Fault
2026-02-17 16:41:00,231.03,6.4,50.08,1.45,0.98,28.85,Normal
2026-04-12 20:56:28,174.83,16.38,48.73,2.01,0.7,45.55,LL Fault
2026-01-10 02:34:42,174.9,18.62,48.5,2.29,0.7,40.72,LL Fault
2026-06-07 16:09:21,151.36,31.37,48.71,3.35,0.71,49.54,LLG Fault
2026-01-07 14:44:12,229.48,5.76,49.97,1.29,0.98,31.67,Normal
2026-03-05 11:37:51,142.18,42.01,47.92,3.76,0.63,60.12,LLL Fault
2026-02-17 23:21:00,213.15,19.44,49.45,3.63,0.87,41.53,LG Fault
2026-04-13 12:56:45,132.47,31.53,47.98,2.43,0.58,72.54,LLL Fault
2026-04-24 15:12:42,192.99,15.23,49.3,2.55,0.87,38.91,LG Fault
2026-03-14 04:22:14,230.71,7.83,50.0,1.79,0.99,34.96,Normal
2026-07-04 06:34:15,230.05,7.99,50.05,1.78,0.97,34.36,Normal
2026-02-17 19:00:32,169.39,19.32,48.63,2.78,0.85,50.99,LL Fault
2026-02-04 10:13:27,166.51,23.7,48.49,3.06,0.78,60.86,LLG Fault
2026-05-26 09:25:19,172.05,23.67,49.42,3.14,0.77,54.4,LL Fault
2026-01-29 01:46:21,230.3,7.09,49.97,1.62,0.99,27.46,Normal
2026-02-27 03:47:58,231.84,5.5,49.98,1.24,0.98,26.26,Normal
2026-05-13 11:04:50,173.91,22.22,48.52,2.78,0.72,46.78,LL Fault
2026-01-23 16:54:14,138.0,23.25,48.85,2.3,0.72,45.21,LLG Fault
2026-04-19 12:17:51,148.5,32.15,47.5,2.42,0.51,68.45,LLL Fault
2026-03-18 22:17:01,186.65,13.58,49.59,2.34,0.92,39.28,LG Fault
2026-02-14 16:16:08,231.27,6.55,50.02,1.49,0.98,25.78,Normal
2026-05-17 10:22:29,193.3,22.53,49.07,3.74,0.86,47.75,LL Fault
2026-03-04 23:30:03,140.17,43.89,48.42,3.24,0.53,71.28,LLL Fault
2026-03-30 04:47:00,229.81,7.03,50.07,1.59,0.99,33.99,Normal
2026-02-18 09:01:20,143.63,38.83,47.7,3.37,0.61,55.88,LLL Fault
2026-03-05 23:37:22,217.54,13.36,49.1,2.59,0.89,41.63,LG Fault
2026-01-19 22:59:07,198.54,13.22,49.4,2.41,0.92,43.78,LG Fault
2026-07-03 06:34:54,199.79,16.3,48.72,2.63,0.81,48.62,LL Fault
2026-02-09 03:34:57,167.68,21.9,49.0,2.7,0.73,53.0,LL Fault
2026-01-26 09:00:25,144.47,26.2,47.54,2.5,0.66,52.83,LLG Fault
2026-02-16 23:54:54,230.12,7.21,50.03,1.62,0.98,26.72,Normal
2026-05-24 05:28:04,167.52,20.51,49.27,2.69,0.78,46.13,LL Fault
2026-03-27 13:23:02,231.39,6.33,49.99,1.43,0.98,26.82,Normal
2026-03-29 06:00:08,219.24,15.24,49.48,2.82,0.84,38.67,LG Fault
2026-06-06 08:28:32,215.17,13.81,49.79,2.77,0.93,36.88,LG Fault
2026-04-11 11:07:43,161.6,15.97,48.52,2.24,0.87,48.51,LL Fault
2026-02-26 08:41:14,112.52,34.07,47.37,2.28,0.59,63.39,LLL Fault
2026-05-20 03:24:38,154.65,20.59,49.38,2.58,0.81,41.52,LL Fault
2026-03-16 00:53:08,130.24,31.08,47.61,2.79,0.69,49.09,LLG Fault
2026-02-07 05:47:10,211.17,19.11,49.6,3.81,0.95,37.08,LG Fault
2026-07-04 20:38:12,169.76,21.8,48.13,2.35,0.64,52.34,LLG Fault
2026-05-25 15:43:04,217.44,16.1,49.2,3.03,0.87,36.9,LG Fault
2026-06-09 01:08:39,106.74,21.59,47.81,1.7,0.74,48.14,LLG Fault
2026-04-05 00:45:15,180.74,24.48,49.33,3.28,0.74,44.58,LL Fault
2026-01-24 08:16:36,121.73,29.29,47.64,2.82,0.79,54.96,LLG Fault
2026-06-07 07:23:15,197.91,24.27,49.46,4.11,0.86,50.42,LL Fault
2026-06-10 21:37:24,230.12,7.16,49.96,1.64,0.99,33.42,Normal
2026-07-03 00:42:42,156.29,34.33,48.91,4.15,0.77,63.85,LLG Fault
2026-06-29 02:07:42,145.09,32.76,47.86,3.38,0.71,49.32,LLG Fault
2026-03-09 12:30:12,139.73,21.51,48.42,2.06,0.68,60.79,LLG Fault
2026-05-09 00:22:23,228.96,7.55,50.07,1.69,0.98,25.96,Normal
2026-05-25 04:28:28,229.48,7.05,50.07,1.6,0.99,27.35,Normal
2026-03-04 04:10:37,182.4,20.32,48.87,2.89,0.78,46.43,LL Fault
2026-05-19 19:19:29,182.49,16.38,48.58,2.13,0.71,40.8,LL Fault
2026-06-25 18:05:21,147.39,44.63,47.46,4.55,0.69,66.32,LLL Fault
2026-04-16 13:24:58,146.85,27.02,48.36,2.71,0.68,49.51,LLG Fault
2026-01-31 09:38:08,230.93,7.76,50.08,1.78,0.99,28.03,Normal
2026-05-05 18:27:17,132.58,28.77,48.29,2.57,0.67,57.33,LLG Fault
2026-04-19 02:41:23,219.27,19.25,49.29,3.55,0.84,42.02,LG Fault
2026-02-16 13:05:32,116.57,39.97,47.99,2.53,0.54,56.41,LLL Fault
2026-06-26 08:13:18,168.09,18.32,49.35,2.51,0.82,41.91,LL Fault
2026-06-23 09:31:35,197.65,10.56,49.76,1.79,0.86,39.41,LG Fault
2026-02-15 14:49:20,127.87,34.95,47.69,2.8,0.63,72.68,LLL Fault
2026-06-10 22:00:52,96.01,40.09,47.77,2.6,0.68,64.16,LLL Fault
2026-05-20 19:12:54,183.03,10.96,49.01,1.85,0.92,35.66,LG Fault
2026-04-10 22:13:50,145.63,31.75,48.46,3.55,0.77,49.91,LLG Fault
2026-01-12 13:57:16,213.76,13.89,49.32,2.57,0.87,36.05,LG Fault
2026-01-22 03:37:09,209.74,11.81,49.8,2.15,0.87,41.69,LG Fault
2026-02-17 23:38:56,97.95,31.9,48.13,1.96,0.63,70.99,LLL Fault
2026-03-15 19:12:11,148.01,31.19,48.38,2.97,0.64,56.86,LLL Fault
2026-05-06 21:02:05,201.5,11.13,49.15,2.03,0.9,38.89,LG Fault
2026-03-15 06:16:04,148.41,23.6,48.59,2.6,0.74,49.09,LLG Fault
2026-03-01 01:31:40,165.36,23.83,48.77,3.39,0.86,47.57,LL Fault
2026-03-21 05:32:58,178.66,24.99,49.23,3.21,0.72,42.52,LL Fault
2026-01-16 09:16:53,230.16,5.54,50.01,1.26,0.99,31.45,Normal
2026-04-13 18:32:33,181.33,11.53,49.31,1.96,0.94,43.43,LG Fault
2026-02-23 06:51:04,231.81,5.6,50.09,1.28,0.98,34.67,Normal
2026-01-19 22:58:42,228.78,5.29,49.95,1.21,1.0,32.31,Normal
2026-01-10 10:05:49,230.96,5.41,49.93,1.25,1.0,31.24,Normal
2026-03-09 02:56:32,196.5,15.56,49.61,2.45,0.8,35.09,LG Fault
2026-01-24 16:50:36,205.98,11.42,49.55,2.1,0.89,35.65,LG Fault
2026-02-25 20:30:23,217.6,15.2,49.7,2.68,0.81,38.49,LG Fault
2026-01-01 05:02:46,207.77,12.3,49.38,2.16,0.85,40.44,LG Fault
2026-05-11 20:50:04,196.99,17.82,49.18,3.31,0.94,44.59,LG Fault
2026-02-19 21:52:25,140.83,37.57,47.41,3.01,0.57,71.47,LLL Fault
2026-07-04 07:57:02,196.13,20.69,49.02,3.04,0.75,42.84,LL Fault
2026-01-24 21:12:53,160.53,18.9,48.65,2.25,0.74,42.31,LL Fault
